,枠番,年齢,体重,平均ST,全国-勝率,全国-2連率,全国-3連率,当地-勝率,当地-2連率,当地-3連率,モーター-2連率,モーター-3連率,単勝オッズ,レーサーid,着順
0,1,23,52.0,0.15,5.67,37.14,57.86,0.0,0.0,0.0,35.98,51.83,2.0,4746,1
1,2,29,46.5,0.17,6.13,46.67,60.0,5.13,25.0,50.0,33.17,54.15,3.6,4886,4
2,3,26,52.0,0.15,6.11,49.41,57.65,5.83,38.89,66.67,29.01,43.21,5.5,4959,3
3,4,27,52.0,0.11,5.78,39.17,60.0,6.69,54.29,71.43,30.57,43.31,4.5,4960,2
4,5,28,45.0,0.14,5.48,36.56,52.69,4.0,12.5,25.0,39.74,53.21,9.5,4933,6
5,6,24,52.0,0.16,6.18,40.87,56.52,5.68,42.11,57.89,35.2,53.07,13.4,5038,5
0,1,48,54.6,0.14,7.13,54.92,71.31,0.0,0.0,0.0,29.01,45.68,1.5,4266,3
1,2,27,52.1,0.14,7.38,56.25,76.04,6.5,55.56,72.22,39.13,55.28,9.7,4148,1
2,3,36,52.0,0.17,7.0,53.57,75.89,6.94,54.84,74.19,27.14,42.14,5.2,4190,2
3,4,35,52.4,0.13,7.36,51.33,67.26,7.43,55.32,74.47,30.22,53.96,4.7,4028,4
4,5,37,54.1,0.12,6.75,43.44,59.02,5.96,41.67,54.17,29.8,50.99,7.2,4787,6
5,6,33,52.0,0.14,6.82,50.4,66.4,8.07,64.29,71.43,38.36,62.89,17.7,4760,5
0,1,37,51.0,0.13,6.88,48.89,70.0,6.52,30.3,60.61,41.67,58.33,1.0,4959,3
1,2,33,52.8,0.16,7.33,54.39,68.42,7.33,53.85,78.85,38.24,55.88,11.9,4350,4
2,3,31,52.2,0.14,6.45,52.38,63.1,6.89,54.29,74.29,27.27,45.45,19.4,4503,2
3,4,34,52.0,0.12,6.69,42.52,62.2,9.0,62.5,75.0,24.24,39.39,18.1,4926,1
4,5,48,52.0,0.14,7.19,48.42,64.21,5.78,33.33,44.44,26.47,44.12,24.2,4208,5
5,6,41,46.5,0.17,7.8,63.04,81.16,8.59,76.47,88.24,36.36,51.52,64.1,3721,6
0,1,39,52.0,0.18,6.07,44.12,63.73,6.61,50.51,71.72,42.07,64.02,2.6,4297,1
1,2,48,52.0,0.14,5.79,36.27,57.84,6.15,41.89,68.92,39.74,58.28,2.4,4564,6
2,3,36,52.4,0.16,5.35,31.78,51.4,5.62,38.46,50.0,30.46,51.66,7.2,4793,3
3,4,22,52.0,0.19,3.53,15.38,26.92,3.69,18.75,31.25,27.45,45.1,6.7,3686,4
4,5,46,53.5,0.17,5.8,38.14,58.47,6.61,50.0,63.89,25.85,46.94,8.5,4718,2
5,6,35,51.0,0.13,6.5,45.6,68.8,6.83,56.52,82.61,32.21,51.01,6.7,4842,5
0,1,43,52.3,0.13,6.3,47.83,63.48,6.06,43.55,53.23,30.08,47.37,2.2,3740,1
1,2,49,52.2,0.13,6.56,41.12,62.62,6.95,45.24,61.9,29.75,48.76,3.5,4075,4
2,3,25,52.0,0.12,6.91,57.46,72.39,5.71,42.86,57.14,40.91,59.09,7.1,3952,3
3,4,42,52.0,0.12,6.86,50.59,67.06,7.22,51.85,70.37,37.5,56.62,5.7,4266,6
4,5,42,53.5,0.13,6.64,47.37,58.95,6.81,51.39,75.0,31.25,46.88,3.9,4627,5
5,6,36,48.9,0.15,5.02,35.71,51.19,5.76,44.87,56.41,40.94,52.76,28.5,5141,2
0,1,50,55.4,0.16,5.25,31.0,51.0,5.44,31.82,57.58,0.0,16.67,1.0,5135,2
1,2,35,52.3,0.16,4.82,21.98,48.35,4.8,21.74,43.48,0.0,0.0,15.6,4182,6
2,3,30,52.0,0.13,4.06,23.17,30.49,2.89,8.33,22.22,57.14,57.14,8.5,4943,1
